mob_0,mob_1,mob_2,eff_0,eff_1,eff_2,res_0,res_1,res_2,label
0.999481,3.1957086e-07,0.0005186433,0.9685979,0.016619857,0.014782232,0.5870769,0.037545025,0.37537807,0
0.9664773,2.6893033e-05,0.0334959,0.9637552,0.01886993,0.017374996,0.46421298,0.034300447,0.50148654,0
0.30400538,0.3351601,0.36083454,0.9497869,0.027787296,0.022425806,0.7147571,0.21383102,0.07141194,0
0.00013908501,0.5663596,0.43350136,0.022861732,0.92466265,0.05247556,0.012993363,0.94199896,0.04500767,1
3.241488e-05,0.5452036,0.45476398,0.019823838,0.96460575,0.015570463,0.018063596,0.90368474,0.07825167,1
0.026358977,0.61046505,0.36317596,0.015365149,0.9724567,0.012178168,0.13311137,0.5312265,0.33566213,1
0.0008642189,0.50501084,0.49412495,0.011759419,0.9802806,0.007960027,0.034402918,0.5880672,0.3775299,1
0.00028680873,0.46656302,0.53315014,0.013687331,0.9783028,0.008009877,0.009361558,0.96689147,0.023746971,1
4.1453848e-05,0.58638704,0.4135715,0.019735621,0.9562738,0.023990598,0.017855505,0.88128006,0.10086439,1
3.921482e-06,0.97753817,0.022457898,0.016202593,0.969878,0.013919391,0.031913668,0.46662766,0.50145864,1
4.295347e-05,0.99759597,0.0023610997,0.016237857,0.96906507,0.014697036,0.01924068,0.5147914,0.46596786,1
6.5419927e-06,0.43417034,0.56582314,0.021343866,0.8615184,0.11713772,0.004175516,0.9897142,0.006110212,1
4.8287245e-07,0.99539775,0.004601746,0.017223638,0.9698373,0.012939065,0.043340456,0.5982266,0.35843292,1
2.0980571e-05,0.62630093,0.37367815,0.010436406,0.080028474,0.90953505,0.03805506,0.4358223,0.5261226,2
0.00044734133,0.41723216,0.5823205,0.020137142,0.03608882,0.94377404,0.01650213,0.5427061,0.4407918,2
4.7462814e-05,0.48292437,0.51702815,0.013345393,0.9469232,0.039731357,0.028074073,0.026178697,0.94574726,2
0.0063266247,0.8570812,0.13659225,0.027030092,0.22259967,0.75037026,0.02873818,0.40262887,0.56863296,2
